date,market,symbol,close,source
2008-05-20,FTSE100,^FTSE,6191.600098,Yahoo Finance via yfinance
2008-05-20,HANGSENG,^HSI,25169.46094,Yahoo Finance via yfinance
2008-05-20,NASDAQ,^IXIC,2492.26001,Yahoo Finance via yfinance
2008-05-20,NIKKEI225,^N225,14160.08984,Yahoo Finance via yfinance
2008-05-20,SP500,^GSPC,1413.400024,Yahoo Finance via yfinance
2008-05-20,VIX,^VIX,17.57999992,Yahoo Finance via yfinance
2008-05-21,DAX,^GDAXI,7040.830078,Yahoo Finance via yfinance
2008-05-21,DOW,^DJI,12601.19043,Yahoo Finance via yfinance
2008-05-21,FTSE100,^FTSE,6198.100098,Yahoo Finance via yfinance
2008-05-21,HANGSENG,^HSI,25460.28906,Yahoo Finance via yfinance
2008-05-21,NASDAQ,^IXIC,2448.27002,Yahoo Finance via yfinance
2008-05-21,NIKKEI225,^N225,13926.2998,Yahoo Finance via yfinance
2008-05-21,SP500,^GSPC,1390.709961,Yahoo Finance via yfinance
2008-05-21,VIX,^VIX,18.59000015,Yahoo Finance via yfinance
2008-05-22,DAX,^GDAXI,7070.330078,Yahoo Finance via yfinance
2008-05-22,DOW,^DJI,12625.62012,Yahoo Finance via yfinance
2008-05-22,FTSE100,^FTSE,6181.600098,Yahoo Finance via yfinance
2008-05-22,HANGSENG,^HSI,25043.11914,Yahoo Finance via yfinance
2008-05-22,NASDAQ,^IXIC,2464.580078,Yahoo Finance via yfinance
2008-05-22,NIKKEI225,^N225,13978.45996,Yahoo Finance via yfinance
2008-05-22,SP500,^GSPC,1394.349976,Yahoo Finance via yfinance
2008-05-22,VIX,^VIX,18.04999924,Yahoo Finance via yfinance
2008-05-23,DAX,^GDAXI,6944.049805,Yahoo Finance via yfinance
2008-05-23,DOW,^DJI,12479.62988,Yahoo Finance via yfinance
2008-05-23,FTSE100,^FTSE,6087.299805,Yahoo Finance via yfinance
2008-05-23,HANGSENG,^HSI,24714.07031,Yahoo Finance via yfinance
2008-05-23,NASDAQ,^IXIC,2444.669922,Yahoo Finance via yfinance
2008-05-23,NIKKEI225,^N225,14012.2002,Yahoo Finance via yfinance
2008-05-23,SP500,^GSPC,1375.930054,Yahoo Finance via yfinance
2008-05-23,VIX,^VIX,19.54999924,Yahoo Finance via yfinance
2008-05-26,DAX,^GDAXI,6953.839844,Yahoo Finance via yfinance
2008-05-26,HANGSENG,^HSI,24127.31055,Yahoo Finance via yfinance
2008-05-26,NIKKEI225,^N225,13690.19043,Yahoo Finance via yfinance
2008-05-27,DAX,^GDAXI,6958.660156,Yahoo Finance via yfinance
2008-05-27,DOW,^DJI,12548.34961,Yahoo Finance via yfinance
2008-05-27,FTSE100,^FTSE,6058.5,Yahoo Finance via yfinance
2008-05-27,HANGSENG,^HSI,24282.03906,Yahoo Finance via yfinance
2008-05-27,NASDAQ,^IXIC,2481.23999,Yahoo Finance via yfinance
2008-05-27,NIKKEI225,^N225,13893.30957,Yahoo Finance via yfinance
2008-05-27,SP500,^GSPC,1385.349976,Yahoo Finance via yfinance
2008-05-27,VIX,^VIX,19.63999939,Yahoo Finance via yfinance
2008-05-28,DAX,^GDAXI,7033.839844,Yahoo Finance via yfinance
2008-05-28,DOW,^DJI,12594.03027,Yahoo Finance via yfinance
2008-05-28,FTSE100,^FTSE,6069.600098,Yahoo Finance via yfinance
2008-05-28,HANGSENG,^HSI,24249.50977,Yahoo Finance via yfinance
2008-05-28,NASDAQ,^IXIC,2486.699951,Yahoo Finance via yfinance
2008-05-28,NIKKEI225,^N225,13709.44043,Yahoo Finance via yfinance
2008-05-28,SP500,^GSPC,1390.839966,Yahoo Finance via yfinance
2008-05-28,VIX,^VIX,19.06999969,Yahoo Finance via yfinance
2008-05-29,DAX,^GDAXI,7055.029785,Yahoo Finance via yfinance
2008-05-29,DOW,^DJI,12646.21973,Yahoo Finance via yfinance
2008-05-29,FTSE100,^FTSE,6068.100098,Yahoo Finance via yfinance
2008-05-29,HANGSENG,^HSI,24383.99023,Yahoo Finance via yfinance
2008-05-29,NASDAQ,^IXIC,2508.320068,Yahoo Finance via yfinance
2008-05-29,NIKKEI225,^N225,14124.46973,Yahoo Finance via yfinance
2008-05-29,SP500,^GSPC,1398.26001,Yahoo Finance via yfinance
2008-05-29,VIX,^VIX,18.13999939,Yahoo Finance via yfinance
2008-05-30,DAX,^GDAXI,7096.790039,Yahoo Finance via yfinance
2008-05-30,DOW,^DJI,12638.32031,Yahoo Finance via yfinance
2008-05-30,FTSE100,^FTSE,6053.5,Yahoo Finance via yfinance
2008-05-30,HANGSENG,^HSI,24533.11914,Yahoo Finance via yfinance
2008-05-30,NASDAQ,^IXIC,2522.659912,Yahoo Finance via yfinance
2008-05-30,NIKKEI225,^N225,14338.54004,Yahoo Finance via yfinance
2008-05-30,SP500,^GSPC,1400.380005,Yahoo Finance via yfinance
2008-05-30,VIX,^VIX,17.82999992,Yahoo Finance via yfinance
2008-06-02,DAX,^GDAXI,7008.77002,Yahoo Finance via yfinance
2008-06-02,DOW,^DJI,12503.82031,Yahoo Finance via yfinance
2008-06-02,FTSE100,^FTSE,6007.600098,Yahoo Finance via yfinance
2008-06-02,HANGSENG,^HSI,24831.35938,Yahoo Finance via yfinance
2008-06-02,NASDAQ,^IXIC,2491.530029,Yahoo Finance via yfinance
2008-06-02,NIKKEI225,^N225,14440.13965,Yahoo Finance via yfinance
2008-06-02,SP500,^GSPC,1385.670044,Yahoo Finance via yfinance
2008-06-02,VIX,^VIX,19.82999992,Yahoo Finance via yfinance
2008-06-03,DAX,^GDAXI,7019.129883,Yahoo Finance via yfinance
2008-06-03,DOW,^DJI,12402.84961,Yahoo Finance via yfinance
2008-06-03,FTSE100,^FTSE,6057.700195,Yahoo Finance via yfinance
2008-06-03,HANGSENG,^HSI,24375.75977,Yahoo Finance via yfinance
2008-06-03,NASDAQ,^IXIC,2480.47998,Yahoo Finance via yfinance
2008-06-03,NIKKEI225,^N225,14209.16992,Yahoo Finance via yfinance
2008-06-03,SP500,^GSPC,1377.650024,Yahoo Finance via yfinance
2008-06-03,VIX,^VIX,20.23999977,Yahoo Finance via yfinance
2008-06-04,DAX,^GDAXI,6965.430176,Yahoo Finance via yfinance
2008-06-04,DOW,^DJI,12390.48047,Yahoo Finance via yfinance
2008-06-04,FTSE100,^FTSE,5970.100098,Yahoo Finance via yfinance
2008-06-04,HANGSENG,^HSI,24123.25,Yahoo Finance via yfinance
2008-06-04,NASDAQ,^IXIC,2503.139893,Yahoo Finance via yfinance
2008-06-04,NIKKEI225,^N225,14435.57031,Yahoo Finance via yfinance
2008-06-04,SP500,^GSPC,1377.199951,Yahoo Finance via yfinance
2008-06-04,VIX,^VIX,20.79999924,Yahoo Finance via yfinance
2008-06-05,DAX,^GDAXI,6941.830078,Yahoo Finance via yfinance
2008-06-05,DOW,^DJI,12604.4502,Yahoo Finance via yfinance
2008-06-05,FTSE100,^FTSE,5995.299805,Yahoo Finance via yfinance
2008-06-05,HANGSENG,^HSI,24255.28906,Yahoo Finance via yfinance
2008-06-05,NASDAQ,^IXIC,2549.939941,Yahoo Finance via yfinance
2008-06-05,NIKKEI225,^N225,14341.12012,Yahoo Finance via yfinance
2008-06-05,SP500,^GSPC,1404.050049,Yahoo Finance via yfinance
2008-06-05,VIX,^VIX,18.62999916,Yahoo Finance via yfinance
2008-06-06,DAX,^GDAXI,6803.810059,Yahoo Finance via yfinance
2008-06-06,DOW,^DJI,12209.80957,Yahoo Finance via yfinance
2008-06-06,FTSE100,^FTSE,5906.799805,Yahoo Finance via yfinance
2008-06-06,HANGSENG,^HSI,24402.17969,Yahoo Finance via yfinance
2008-06-06,NASDAQ,^IXIC,2474.560059,Yahoo Finance via yfinance
2008-06-06,NIKKEI225,^N225,14489.44043,Yahoo Finance via yfinance
2008-06-06,SP500,^GSPC,1360.680054,Yahoo Finance via yfinance
2008-06-06,VIX,^VIX,23.55999947,Yahoo Finance via yfinance
2008-06-09,DAX,^GDAXI,6815.629883,Yahoo Finance via yfinance
2008-06-09,DOW,^DJI,12280.32031,Yahoo Finance via yfinance
2008-06-09,FTSE100,^FTSE,5877.600098,Yahoo Finance via yfinance
2008-06-09,NASDAQ,^IXIC,2459.459961,Yahoo Finance via yfinance
2008-06-09,NIKKEI225,^N225,14181.37988,Yahoo Finance via yfinance
2008-06-09,SP500,^GSPC,1361.76001,Yahoo Finance via yfinance
2008-06-09,VIX,^VIX,23.12000084,Yahoo Finance via yfinance
2008-06-10,DAX,^GDAXI,6771.100098,Yahoo Finance via yfinance
2008-06-10,DOW,^DJI,12289.75977,Yahoo Finance via yfinance
2008-06-10,FTSE100,^FTSE,5827.299805,Yahoo Finance via yfinance
2008-06-10,HANGSENG,^HSI,23375.51953,Yahoo Finance via yfinance
2008-06-10,NASDAQ,^IXIC,2448.939941,Yahoo Finance via yfinance
2008-06-10,NIKKEI225,^N225,14021.16992,Yahoo Finance via yfinance
2008-06-10,SP500,^GSPC,1358.439941,Yahoo Finance via yfinance
2008-06-10,VIX,^VIX,23.18000031,Yahoo Finance via yfinance
2008-06-11,DAX,^GDAXI,6650.259766,Yahoo Finance via yfinance
2008-06-11,DOW,^DJI,12083.76953,Yahoo Finance via yfinance
2008-06-11,FTSE100,^FTSE,5723.299805,Yahoo Finance via yfinance
2008-06-11,HANGSENG,^HSI,23327.59961,Yahoo Finance via yfinance
2008-06-11,NASDAQ,^IXIC,2394.01001,Yahoo Finance via yfinance
2008-06-11,NIKKEI225,^N225,14183.48047,Yahoo Finance via yfinance
2008-06-11,SP500,^GSPC,1335.48999,Yahoo Finance via yfinance
2008-06-11,VIX,^VIX,24.12000084,Yahoo Finance via yfinance
2008-06-12,DAX,^GDAXI,6714.52002,Yahoo Finance via yfinance
2008-06-12,DOW,^DJI,12141.58008,Yahoo Finance via yfinance
2008-06-12,FTSE100,^FTSE,5790.5,Yahoo Finance via yfinance
2008-06-12,HANGSENG,^HSI,23023.85938,Yahoo Finance via yfinance
2008-06-12,NASDAQ,^IXIC,2404.350098,Yahoo Finance via yfinance
2008-06-12,NIKKEI225,^N225,13888.59961,Yahoo Finance via yfinance
2008-06-12,SP500,^GSPC,1339.869995,Yahoo Finance via yfinance
2008-06-12,VIX,^VIX,23.32999992,Yahoo Finance via yfinance
2008-06-13,DAX,^GDAXI,6765.319824,Yahoo Finance via yfinance
2008-06-13,DOW,^DJI,12307.34961,Yahoo Finance via yfinance
2008-06-13,FTSE100,^FTSE,5802.799805,Yahoo Finance via yfinance
2008-06-13,HANGSENG,^HSI,22592.30078,Yahoo Finance via yfinance
2008-06-13,NASDAQ,^IXIC,2454.5,Yahoo Finance via yfinance
2008-06-13,NIKKEI225,^N225,13973.73047,Yahoo Finance via yfinance
2008-06-13,SP500,^GSPC,1360.030029,Yahoo Finance via yfinance
2008-06-13,VIX,^VIX,21.21999931,Yahoo Finance via yfinance
2008-06-16,DAX,^GDAXI,6729.879883,Yahoo Finance via yfinance
2008-06-16,DOW,^DJI,12269.08008,Yahoo Finance via yfinance
2008-06-16,FTSE100,^FTSE,5794.600098,Yahoo Finance via yfinance
2008-06-16,HANGSENG,^HSI,23029.68945,Yahoo Finance via yfinance
2008-06-16,NASDAQ,^IXIC,2474.780029,Yahoo Finance via yfinance
2008-06-16,NIKKEI225,^N225,14354.37012,Yahoo Finance via yfinance
2008-06-16,SP500,^GSPC,1360.140015,Yahoo Finance via yfinance
2008-06-16,VIX,^VIX,20.95000076,Yahoo Finance via yfinance
2008-06-17,DAX,^GDAXI,6796.160156,Yahoo Finance via yfinance
2008-06-17,DOW,^DJI,12160.2998,Yahoo Finance via yfinance
2008-06-17,FTSE100,^FTSE,5861.899902,Yahoo Finance via yfinance
2008-06-17,HANGSENG,^HSI,23057.99023,Yahoo Finance via yfinance
